"movieId","sum_count"
"1","2573"
"2","1021"
"3","629"
"4","129"
"5","592"
"6","1101"
"7","605"
"8","60"
"9","183"
"10","1233"
"11","731"
"12","187"
"13","72"
"14","267"
"15","150"
"16","769"
"17","978"
"18","258"
"19","967"
"20","184"
"21","954"
"22","464"
"23","177"
"24","368"
"25","976"
"26","114"
"27","72"
"28","129"
"29","394"
"30","50"
"31","433"
"32","2088"
"33","4"
"34","1367"
"35","69"
"36","921"
"37","2"
"38","26"
"39","1145"
"40","35"
"41","194"
"42","104"
"43","117"
"44","515"
"45","401"
"46","139"
"47","2076"
"48","596"
"49","10"
"50","2322"
"51","2"
"52","400"
"53","3"
"54","38"
"55","43"
"56","3"
"57","114"
"58","521"
"59","11"
"60","273"
"61","110"
"62","898"
"63","110"
"64","94"
"65","236"
"66","110"
"67","7"
"68","53"
"69","179"
"70","587"
"71","58"
"72","52"
"73","125"
"74","152"
"75","22"
"76","168"
"77","8"
"78","57"
"79","251"
"80","18"
"81","134"
"82","106"
"83","20"
"84","6"
"85","116"
"86","203"
"87","44"
"88","221"
"89","142"
"90","10"
"92","89"
"93","93"
"94","162"
"95","1027"
"96","16"
"97","102"
"98","2"
"99","26"
"100","191"
"101","201"
"102","85"
"103","54"
"104","874"
"105","446"
"106","6"
"107","347"
"108","6"
"109","1"
"110","2583"
"111","1226"
"112","498"
"113","43"
"114","13"
"115","3"
"116","39"
"117","51"
"118","50"
"119","18"
"120","7"
"121","34"
"122","158"
"123","103"
"124","15"
"125","137"
"126","58"
"127","2"
"128","2"
"129","9"
"130","1"
"131","6"
"132","103"
"135","320"
"136","6"
"137","7"
"138","7"
"139","1"
"140","220"
"141","984"
"142","1"
"143","1"
"144","188"
"145","592"
"146","23"
"147","218"
"148","18"
"149","62"
"150","2206"
"151","537"
"152","27"
"153","1413"
"154","148"
"155","51"
"156","79"
"157","113"
"158","578"
"159","110"
"160","593"
"161","953"
"162","253"
"163","654"
"164","170"
"165","1547"
"166","33"
"167","4"
"168","548"
"169","156"
"170","377"
"171","56"
"172","550"
"173","662"
"174","88"
"175","232"
"176","113"
"177","101"
"178","22"
"179","49"
"180","365"
"181","125"
"182","29"
"183","30"
"184","20"
"185","997"
"186","497"
"187","47"
"188","99"
"189","14"
"190","51"
"191","77"
"192","2"
"193","348"
"194","245"
"195","145"
"196","594"
"197","7"
"198","385"
"199","62"
"200","17"
"201","14"
"202","18"
"203","245"
"204","386"
"205","57"
"206","48"
"207","257"
"208","1204"
"209","32"
"210","20"
"211","19"
"212","24"
"213","95"
"214","41"
"215","271"
"216","441"
"217","40"
"218","180"
"219","28"
"220","9"
"222","249"
"223","972"
"224","361"
"225","528"
"226","1"
"227","206"
"228","24"
"229","106"
"230","294"
"231","1405"
"232","255"
"233","150"
"234","142"
"235","702"
"236","517"
"237","263"
"238","40"
"239","156"
"240","32"
"241","25"
"242","59"
"243","18"
"244","13"
"245","8"
"246","488"
"247","346"
"248","145"
"249","230"
"250","43"
"251","24"
"252","414"
"253","1159"
"254","23"
"255","40"
"256","423"
"257","158"
"258","73"
"259","105"
"260","3039"
"261","465"
"262","205"
"263","15"
"264","8"
"265","504"
"266","688"
"267","182"
"268","32"
"269","30"
"270","49"
"271","57"
"272","306"
"273","347"
"274","50"
"275","70"
"276","220"
"277","388"
"278","47"
"279","38"
"280","244"
"281","144"
"282","448"
"283","11"
"284","5"
"285","3"
"286","7"
"287","18"
"288","1040"
"289","142"
"290","193"
"291","34"
"292","1076"
"293","1339"
"294","42"
"295","16"
"296","3410"
"297","13"
"298","9"
"299","114"
"300","836"
"301","16"
"302","76"
"303","310"
"304","24"
"305","157"
"306","330"
"307","332"
"308","257"
"309","17"
"310","14"
"311","3"
"312","61"
"313","61"
"314","173"
"315","482"
"316","1398"
"317","691"
"318","3582"
"319","325"
"320","11"
"321","38"
"322","129"
"324","22"
"325","41"
"326","60"
"327","318"
"328","107"
"329","1120"
"330","82"
"331","23"
"332","90"
"333","519"
"334","79"
"335","22"
"336","18"
"337","770"
"338","222"
"339","963"
"340","70"
"341","15"
"342","535"
"343","37"
"344","1672"
"345","451"
"346","51"
"347","83"
"348","358"
"349","1302"
"350","658"
"351","168"
"352","60"
"353","698"
"354","54"
"355","437"
"356","3606"
"357","1176"
"358","106"
"359","16"
"360","99"
"361","229"
"362","353"
"363","20"
"364","1786"
"365","85"
"366","114"
"367","1465"
"368","743"
"369","58"
"370","642"
"371","184"
"372","355"
"373","157"
"374","235"
"375","15"
"376","512"
"377","1744"
"378","111"
"379","239"
"380","1856"
"381","235"
"382","264"
"383","244"
"384","41"
"385","6"
"386","17"
"387","31"
"388","22"
"389","10"
"390","33"
"391","21"
"392","8"
"393","94"
"394","4"
"395","1"
"396","1"
"397","5"
"398","1"
"400","2"
"401","1"
"402","1"
"403","1"
"404","5"
"405","141"
"406","1"
"407","85"
"408","27"
"409","23"
"410","777"
"411","5"
"412","203"
"413","284"
"414","37"
"415","138"
"416","85"
"417","122"
"418","33"
"419","212"
"420","583"
"421","69"
"422","68"
"423","105"
"424","34"
"425","37"
"426","133"
"427","158"
"428","230"
"429","60"
"430","17"
"431","440"
"432","528"
"433","60"
"434","1034"
"435","601"
"436","49"
"437","75"
"438","42"
"439","2"
"440","772"
"441","347"
"442","816"
"443","20"
"444","62"
"445","89"
"446","166"
"447","10"
"448","141"
"449","32"
"450","139"
"451","24"
"452","55"
"453","43"
"454","1017"
"455","378"
"456","46"
"457","2137"
"458","66"
"459","46"
"460","48"
"461","34"
"462","7"
"463","17"
"464","154"
"465","35"
"466","614"
"467","31"
"468","312"
"469","50"
"470","16"
"471","474"
"472","29"
"473","52"
"474","767"
"475","406"
"476","11"
"477","188"
"478","9"
"479","59"
"480","2791"
"481","266"
"482","121"
"483","22"
"484","29"
"485","624"
"486","23"
"487","25"
"488","25"
"489","132"
"490","140"
"491","229"
"492","137"
"493","188"
"494","570"
"495","32"
"496","17"
"497","599"
"498","17"
"499","18"
"500","1447"
"501","98"
"502","173"
"503","4"
"504","52"
"505","68"
"506","58"
"507","151"
"508","876"
"509","720"
"510","42"
"511","66"
"512","42"
"513","19"
"514","195"
"515","456"
"516","133"
"517","141"
"518","51"
"519","239"
"520","640"
"521","99"
"522","56"
"523","35"
"524","371"
"525","9"
"526","6"
"527","2662"
"528","39"
